trail_name:string,latitude:float,longitude:float,length:float,difficulty_level:string,elevation_gain:integer,route_type:string,estimated_time:string,description:text,tags:string,park_id:bigint
Mount Batur Summit Main Trail,-8.25008,115.39797,9.3,Hard,681,Out & back,5h 30m,"Mount Batur is one of the most popular hikes in Bali. This is a very popular area for backpacking and hiking, so you'll likely encounter other people while exploring.

It is located an hour north of the city of Ubud.

The average climber starts the climb at 2 a.m. so they can reach the top for the sunrise.

Climbers are required to use the services of a road guide to climb this mountain. ",Forest/Wildlife/Hiking/Rocky/Lake,1
Ijen Crater Trail,-8.07407,114.32236,9.3,Hard,577,Out & back,3h 40m,"Mount Ijen is like no other volcano on Earth! It is home to the world's largest acidic crater lake, the site of a dangerous sulfur mining operation, and, of course, it radiates a rare natural phenomenon known as the electric blue flames.

The path heading up to Mount Ijen is quite difficult, rocky, and steep. To hike this mountain, you need a local guide to take you to the area of blue flames and the sunrise viewpoint. It is also recommended to bring a special mask because of the sulfur smell. ",Hiking/Walking/Rocky/No Shade/Lake,2
Mount Rinjani (Sembalun to Senaru),-8.358,116.51422,35.6,Hard,3365,Point to point,18h 59m,"Mount Rinjani is famous for its amazingly beautiful scenery, in particular Segara Anak Lake and Mount Batu Jari (often referred to as Mount Anak Rinjani). 

This path will climb from Sembalun to the summit and will descend via Senaru. 

The path from Sembalun is quite gentle trek through a wide expanse of grassy hills.",Camping/Hiking/No Shade/Rocky/Lake/Multi-day,3
Mount Batur (Southern Route),-8.26348,115.3861,8.2,Hard,630,Out & back,3h 39m,"Mount Batur is one of the most popular hikes in Bali. This is a very popular area for backpacking and hiking, so you'll likely encounter other people while exploring.

It is located an hour north of the city of Ubud.

The average climber starts the climb at 2 a.m. so they can reach the top for the sunrise.

Climbers are required to use the services of a road guide to climb this mountain. ",Forest/Wildlife/Hiking/Rocky/Lake,1
Mount Rinjani (from Senaru),-8.3028,116.40112,24.5,Hard,2664,Out & back,13h 38m,"Mount Rinjani (3,726m/12,224ft) is an active volcano that sprawls across the majority of the island of Lombok. 

This multi-day trek can be taken with or without guides and is open from April until January, as after January the monsoon season starts where trekking can become quite dangerous. 

May is the best time to visit, when the landscape is is incredibly lush and green and has the least crowds.",Camping/Hiking/No Shade/Rocky/Lake/Multi-day,3
Mount Merbabu via Selo,-7.4849,110.46028,10.1,Hard,1328,Out & back,6h 45m,"Mount Merbabu is a volcano located in Central Java, near the city of Jogjakarta. Merbabu is a perfect vantage point to observe the currently active Mount Merapi.

There are 2 common trails to the summit; from the north from Kopeng or Tekelan, and from the south from the village of Selo. It is recommended to rent a car with a driver from Jogjakarta to go to Selo and back.",Camping/Hiking/Wildlife/Forest/Multi-day,4
Red Coral Waterfall Trail,-8.26258,115.06589,1.9,Easy,73,Out & back,35m,"The Red Coral Waterfall sits in a wide open landing without any trees. 

It is part of The Munduk waterfall system; a collection of four beautiful waterfalls tucked away in the jungles of Munduk.",Waterfall/Forest/Walking/Hiking/Running/Wildlife,5
Mount Bromo Loop,-7.92629,112.96673,9.7,Hard,406,Loop,4h 40m,"Marvel at the beauty of the active crater at the summit of Mount Bromo.

Many climbers choose to start the climb at 2 am in order to see the beautiful sunrise. 

Mount Bromo is also famous for the ancient desert caldera nearby, and the ghostly fog that settles over it. Definitely take the time you'll spend exploring into account!

You can rent the services of an off-road Jeep or horse if you want to reach the top of the mountain without having to climb.",Camping/Hiking/Desert/Wildlife,6
Munduk Waterfalls Trail,-8.26605,115.05657,4.7,Moderate,264,Loop,1h 43m,"A mostly concrete path, with a mix of large and steep steps and some paths toward the local villages. There's a small portion of dirt trail hiking. 

A lot of ups and downs involved so the vertical aspect of this trail should not be dismissed. However, the waterfalls it brings you to are beautiful, along with all the views on the way. Easily worth it!",Waterfall/Forest/Walking/Hiking/Running/Wildlife,5
Mount Merbabu via Suwanting,-7.47385,110.40035,10.5,Hard,1713,Out & back,7h 30m,"This route is known to be quite difficult among climbers. The journey from the beginning of the entrance to the mountain is a steep uphill.

The higher the up the trail, the harder it gets, with many large rocks to climb. Many hikers choose to set up camp on top of the mountain and enjoy the afternoon sunset or the next day's sunrise.",Camping/Hiking/Wildlife/Forest/Rocky/Multi-day,4
